ID;N_VICTIMAS;FECHA;AAAA;MM;DD;HORA;TIPO_DE_CALLE;Calle;Altura;Cruce;cruce_r;Dirección Normalizada;COMUNA;longitud;latitud;PARTICIPANTES;VICTIMA;ACUSADO
2016-0001;1;2016-01-01;2016;1;1;04:00:00;AVENIDA;PIEDRA BUENA AV.;;FERNANDEZ DE LA CRUZ, F., GRAL. AV.;True;PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.;8;-58.47533969;-34.68757022;MOTO-AUTO;MOTO;AUTO
2016-0002;1;2016-01-02;2016;1;2;01:15:00;GRAL PAZ;PAZ, GRAL. AV.;;DE LOS CORRALES AV.;True;PAZ, GRAL. AV. y DE LOS CORRALES AV.;9;-58.50877521;-34.66977709;AUTO-PASAJEROS;AUTO;PASAJEROS
2016-0003;1;2016-01-03;2016;1;3;07:00:00;AVENIDA;ENTRE RIOS AV.;2034.0;;False;ENTRE RIOS AV. 2034;1;-58.39040293;-34.63189362;MOTO-AUTO;MOTO;AUTO
2016-0004;1;2016-01-10;2016;1;10;00:00:00;AVENIDA;LARRAZABAL AV.;;VILLEGAS, CONRADO, GRAL.;True;LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.;8;-58.46503904;-34.68092974;MOTO-SD;MOTO;
2016-0005;1;2016-01-21;2016;1;21;05:20:00;AVENIDA;SAN JUAN AV.;;SAENZ PE?A, LUIS, PRES.;True;SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.;1;-58.38718297;-34.6224663;MOTO-PASAJEROS;MOTO;PASAJEROS
2016-0008;1;2016-01-24;2016;1;24;18:30:00;AVENIDA;27 DE FEBRERO AV.;;ESCALADA AV.;True;27 DE FEBRERO AV. y ESCALADA AV.;8;-58.44451316;-34.68475866;MOTO-OBJETO FIJO;MOTO;OBJETO FIJO
2016-0009;1;2016-01-24;2016;1;24;19:10:00;CALLE;NOGOYA;;GONZALEZ, JOAQUIN V.;True;NOGOYA y GONZALEZ, JOAQUIN V.;11;-58.50095869;-34.6082544;MOTO-AUTO;MOTO;AUTO
2016-0010;1;2016-01-29;2016;1;29;15:20:00;GRAL PAZ;PAZ, GRAL. AV.;;DE LOS CORRALES AV.;True;PAZ, GRAL. AV. y DE LOS CORRALES AV.;9;-58.50877521;-34.66977709;MOTO-AUTO;MOTO;AUTO
2016-0012;1;2016-02-08;2016;2;8;01:20:00;AVENIDA;BELGRANO AV.;;IRIGOYEN, BERNARDO DE;True;BELGRANO AV. e IRIGOYEN, BERNARDO DE;1;-58.38048577;-34.61303893;MOTO-CARGAS;MOTO;CARGAS
2016-0013;1;2016-02-10;2016;2;10;11:30:00;AVENIDA;ENTRE RIOS AV.;1366.0;;False;ENTRE RIOS AV. 1366;1;-58.39114932;-34.62477387;PEATON-AUTO;PEATON;AUTO
2016-0015;1;2016-02-14;2016;2;14;05:14:00;AVENIDA;SCALABRINI ORTIZ, RAUL AV.;;VERA;True;SCALABRINI ORTIZ, RAUL AV. y VERA;15;-58.4376002;-34.59912758;PEATON-AUTO;PEATON;AUTO
2016-0016;1;2016-02-14;2016;2;14;22:00:00;AVENIDA;REGIMIENTO DE PATRICIOS AV.;;QUINQUELA MARTIN, BENITO;True;REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO;4;-58.36882665;-34.64291993;MOTO-AUTO;MOTO;AUTO
2016-0017;1;2016-02-15;2016;2;15;16:54:00;AVENIDA;ACOSTA, MARIANO;;JANER, ANA MARIA;True;ACOSTA, MARIANO y JANER, ANA MARIA;8;-58.44989671;-34.65970435;PEATON-MOTO;PEATON;MOTO
2016-0019;1;2016-02-17;2016;2;17;09:30:00;CALLE;DE LA TORRE, LISANDRO;;GARCIA GRANDE DE ZEQUEIRA, SEVERO;True;DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO;9;-58.50990884;-34.65468721;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0020;1;2016-02-17;2016;2;17;16:00:00;CALLE;SUIPACHA;156.0;;False;SUIPACHA 156;1;-58.37952223;-34.60653282;PEATON-AUTO;PEATON;AUTO
2016-0021;1;2016-02-17;2016;2;17;23:35:00;AVENIDA;DIRECTORIO AV.;;CURAPALIGUE;True;DIRECTORIO AV. y CURAPALIGUE;7;-58.45157703;-34.63063795;AUTO-AUTO;AUTO;AUTO
2016-0022;1;2016-02-21;2016;2;21;06:00:00;AVENIDA;9 DE JULIO AV.;;ALSINA, ADOLFO;True;9 DE JULIO AV. y ALSINA, ADOLFO;1;-58.38144696;-34.61079875;MOTO-AUTO;MOTO;AUTO
2016-0025;1;2016-02-28;2016;2;28;04:50:00;GRAL PAZ;PAZ, GRAL. AV.;;27 DE FEBRERO AV.;True;PAZ, GRAL. AV. y 27 DE FEBRERO AV.;8;-58.46244952;-34.70524971;AUTO-AUTO;AUTO;AUTO
2016-0026;1;2016-02-28;2016;2;28;07:30:00;CALLE;HOLMBERG;;VEDIA;True;HOLMBERG y VEDIA;12;-58.49216191;-34.54738649;AUTO-OBJETO FIJO;AUTO;OBJETO FIJO
2016-0027;1;2016-02-28;2016;2;28;09:35:00;AVENIDA;CURAPALIGUE AV.;;DIAZ, AVELINO;True;CURAPALIGUE AV. y DIAZ, AVELINO;7;-58.44497874;-34.63852623;AUTO-AUTO;AUTO;AUTO
2016-0028;1;2016-03-02;2016;3;2;10:00:00;AVENIDA;VIAMONTE;;9 DE JULIO AV.;True;VIAMONTE y 9 DE JULIO AV.;1;-58.38199706;-34.60028648;PEATON-CARGAS;PEATON;CARGAS
2016-0029;1;2016-03-04;2016;3;4;17:30:00;AVENIDA;CABILDO AV.;;DEHEZA;True;CABILDO AV. y DEHEZA;12;-58.47378664;-34.54153077;PEATON-PASAJEROS;PEATON;PASAJEROS
