id;n_victimas;fecha;aaaa;mm;dd;hora;comuna;tipo_calle;cruce;longitud;latitud;victima;acusado;participantes;gravedad
LC-2019-0000179;1;2019-01-01;2019;1;1;09:00:00;14.0;;;-58.408911;-34.559658;CICLISTA;;CICLISTA-SD;
LC-2019-0000053;1;2019-01-01;2019;1;1;01:55:00;8.0;;;-58.44351;-34.669125;AUTO;;AUTO-SD;
LC-2019-0000079;1;2019-01-01;2019;1;1;02:30:00;7.0;;;-58.437425;-34.647349;PEATON;;PEATON-SD;
LC-2019-0000082;4;2019-01-01;2019;1;1;04:30:00;3.0;;;-58.398225;-34.604579;AUTO;;AUTO-SD;
LC-2019-0000136;2;2019-01-01;2019;1;1;08:05:00;15.0;;;-58.439392;-34.588108;MOTO;;MOTO-SD;
LC-2019-0000142;1;2019-01-01;2019;1;1;07:30:00;11.0;;;-58.519116;-34.589282;MOTO;;MOTO-SD;
LC-2019-0000194;1;2019-01-01;2019;1;1;07:15:00;9.0;;;-58.528413;-34.650156;AUTO;;AUTO-SD;
LC-2019-0000202;1;2019-01-01;2019;1;1;09:36:00;1.0;;;-58.371488;-34.598416;MOTO;;MOTO-SD;
LC-2019-0000329;1;2019-01-01;2019;1;1;12:24:00;4.0;;;-58.404748;-34.648387;AUTO;;AUTO-SD;
LC-2019-0000347;1;2019-01-01;2019;1;1;12:02:00;7.0;;;-58.442125;-34.649498;AUTO;;AUTO-SD;
LC-2019-0000445;3;2019-01-01;2019;1;1;13:40:00;11.0;;;-58.524662;-34.603255;AUTO;;AUTO-SD;
LC-2019-0000636;1;2019-01-01;2019;1;1;18:30:00;9.0;;;-58.505709;-34.654463;AUTO;;AUTO-SD;
LC-2019-0000647;1;2019-01-01;2019;1;1;18:50:00;12.0;;;-58.490436;-34.583403;MOTO;;MOTO-SD;
LC-2019-0000686;1;2019-01-01;2019;1;1;21:46:00;9.0;;;-58.512313;-34.661307;AUTO;;AUTO-SD;
LC-2019-0002218;1;2019-01-02;2019;1;2;15:27:00;1.0;;;-58.373748;-34.604635;CICLISTA;;CICLISTA-SD;
LC-2019-0000928;1;2019-01-02;2019;1;2;07:01:00;5.0;;;;;MOTO;;MOTO-SD;
LC-2019-0000963;5;2019-01-02;2019;1;2;08:30:00;6.0;;;-58.447266;-34.622984;TRANSPORTE PUBLICO;;TRANSPORTE PUBLICO-SD;
LC-2019-0001754;1;2019-01-02;2019;1;2;12:00:00;5.0;;;-58.415098;-34.620858;CAMION;;CAMIONETA-SD;
LC-2019-0001948;1;2019-01-02;2019;1;2;12:32:00;14.0;;;-58.448666;-34.567927;PEATON;;PEATON-SD;
LC-2019-0001987;1;2019-01-02;2019;1;2;13:57:00;13.0;;;-58.468124;-34.552719;MOTO;;MOTO-SD;
LC-2019-0001992;1;2019-01-02;2019;1;2;14:09:00;1.0;;;-58.37226;-34.596132;MOTO;;MOTO-SD;
LC-2019-0005610;1;2019-01-02;2019;1;2;07:15:00;1.0;;;-58.373281;-34.590127;AUTO;;AUTO-SD;
LC-2019-0003428;1;2019-01-03;2019;1;3;02:05:00;1.0;;;-58.370261;-34.606522;MOTO;;MOTO-SD;
LC-2019-0004621;1;2019-01-03;2019;1;3;13:20:00;3.0;;;-58.402885;-34.61544;MOTO;;MOTO-SD;
LC-2019-0004622;1;2019-01-03;2019;1;3;14:02:00;12.0;;;-58.49491;-34.547957;AUTO;;AUTO-SD;
LC-2019-0005681;1;2019-01-03;2019;1;3;18:20:00;12.0;;;-58.473539;-34.543295;MOTO;;MOTO-SD;
LC-2019-0005764;1;2019-01-03;2019;1;3;20:28:00;15.0;;;-58.495341;-34.591985;PEATON;;PEATON-SD;
LC-2019-0005815;1;2019-01-03;2019;1;3;20:00:00;10.0;;;-58.486064;-34.640477;MOTO;;MOTO-SD;
LC-2019-0005979;1;2019-01-03;2019;1;3;21:50:00;7.0;;;-58.4585;-34.615899;MOTO;;MOTO-SD;
LC-2019-0007021;1;2019-01-04;2019;1;4;10:20:00;13.0;;;-58.44917;-34.56181;CICLISTA;;CICLISTA-SD;
LC-2019-0007536;1;2019-01-04;2019;1;4;13:40:00;12.0;;;-58.505206;-34.567724;CICLISTA;;CICLISTA-SD;
LC-2019-0006068;2;2019-01-04;2019;1;4;02:49:00;3.0;;;-58.39763;-34.617325;MOTO;;MOTO-SD;
LC-2019-0006306;1;2019-01-04;2019;1;4;08:00:00;3.0;;;-58.409257;-34.620021;MOTO;;MOTO-SD;
LC-2019-0006547;1;2019-01-04;2019;1;4;02:00:00;9.0;;;-58.500852;-34.673463;PEATON;;PEATON-SD;
LC-2019-0006638;2;2019-01-04;2019;1;4;09:45:00;10.0;;;-58.496239;-34.636075;MOTO;;MOTO-SD;
LC-2019-0006659;1;2019-01-04;2019;1;4;09:20:00;12.0;;;-58.512465;-34.584012;AUTO;;AUTO-SD;
LC-2019-0006837;1;2019-01-04;2019;1;4;10:15:00;1.0;;;-58.371576;-34.619382;PEATON;;PEATON-SD;
LC-2019-0006857;1;2019-01-04;2019;1;4;09:30:00;12.0;;;-58.50378;-34.573907;PEATON;;PEATON-SD;
LC-2019-0007187;1;2019-01-04;2019;1;4;12:19:00;11.0;;;-58.486836;-34.611405;MOTO;;MOTO-SD;
LC-2019-0007294;1;2019-01-04;2019;1;4;12:30:00;15.0;;;-58.467221;-34.579471;MOTO;;MOTO-SD;
LC-2019-0007336;1;2019-01-04;2019;1;4;14:34:00;9.0;;;-58.469778;-34.649672;AUTO;;AUTO-SD;
LC-2019-0007634;1;2019-01-04;2019;1;4;14:50:00;;;;;;MOTO;;MOTO-SD;
LC-2019-0007660;1;2019-01-04;2019;1;4;15:20:00;6.0;;;-58.432988;-34.620044;MOTO;;MOTO-SD;
LC-2019-0007701;1;2019-01-04;2019;1;4;16:44:00;4.0;;;-58.3743;-34.640305;MOTO;;MOTO-SD;
LC-2019-0007778;1;2019-01-04;2019;1;4;17:11:00;9.0;;;-58.514654;-34.64153;PEATON;;PEATON-SD;
LC-2019-0008077;1;2019-01-04;2019;1;4;16:00:00;15.0;;;-58.477241;-34.595179;MOTO;;MOTO-SD;
LC-2019-0008227;1;2019-01-04;2019;1;4;19:21:00;5.0;;;-58.413443;-34.626664;AUTO;;AUTO-SD;
LC-2019-0008283;2;2019-01-04;2019;1;4;17:53:00;;;;;;AUTO;;AUTO-SD;
LC-2019-0008314;1;2019-01-04;2019;1;4;05:35:00;15.0;;;-58.453898;-34.58744;PEATON;;PEATON-SD;
LC-2019-0008367;1;2019-01-04;2019;1;4;20:00:00;6.0;;;-58.439337;-34.608879;MOTO;;MOTO-SD;
LC-2019-0008467;1;2019-01-04;2019;1;4;22:01:00;10.0;;;-58.529911;-34.625715;MOTO;;MOTO-SD;
LC-2019-0008493;1;2019-01-04;2019;1;4;18:15:00;15.0;;;-58.444788;-34.584513;PEATON;;PEATON-SD;
LC-2019-0008496;1;2019-01-04;2019;1;4;22:27:00;13.0;;;-58.451299;-34.58028;PEATON;;PEATON-SD;
LC-2019-0008565;1;2019-01-04;2019;1;4;23:47:00;4.0;;;-58.391554;-34.635687;AUTO;;AUTO-SD;
LC-2019-0008566;1;2019-01-04;2019;1;4;21:00:00;10.0;;;-58.514329;-34.617879;PEATON;;PEATON-SD;
LC-2019-0011897;1;2019-01-04;2019;1;4;15:00:00;3.0;;;-58.402176;-34.623778;TRANSPORTE PUBLICO;;TRANSPORTE PUBLICO-SD;
LC-2019-0017883;1;2019-01-04;2019;1;4;16:00:00;14.0;;;-58.421782;-34.597734;MOTO;;MOTO-SD;
LC-2019-0008974;1;2019-01-05;2019;1;5;09:30:00;;;;;;CICLISTA;;CICLISTA-SD;
LC-2019-0009312;1;2019-01-05;2019;1;5;13:40:00;10.0;;;-58.5011;-34.636705;CICLISTA;;CICLISTA-SD;
LC-2019-0052387;1;2019-01-05;2019;1;5;23:30:00;3.0;;;-58.407935;-34.618887;CICLISTA;;CICLISTA-SD;
LC-2019-0008860;3;2019-01-05;2019;1;5;06:28:00;4.0;;;-58.412835;-34.655086;TRANSPORTE PUBLICO;;TRANSPORTE PUBLICO-SD;
LC-2019-0008916;1;2019-01-05;2019;1;5;09:34:00;3.0;;;-58.403052;-34.625845;AUTO;;AUTO-SD;
LC-2019-0008924;1;2019-01-05;2019;1;5;08:20:00;3.0;;;-58.392912;-34.619174;PEATON;;PEATON-SD;
LC-2019-0009123;1;2019-01-05;2019;1;5;11:53:00;10.0;;;-58.501286;-34.622979;MOTO;;MOTO-SD;
LC-2019-0009194;1;2019-01-05;2019;1;5;11:55:00;3.0;;;-58.405445;-34.627374;PEATON;;PEATON-SD;
LC-2019-0009325;1;2019-01-05;2019;1;5;06:00:00;1.0;;;-58.36793;-34.605172;MOTO;;MOTO-SD;
LC-2019-0009392;1;2019-01-05;2019;1;5;15:00:00;15.0;;;-58.441826;-34.60066;PEATON;;PEATON-SD;
LC-2019-0009580;1;2019-01-05;2019;1;5;16:00:00;13.0;;;-58.467688;-34.549342;TRANSPORTE PUBLICO;;TRANSPORTE PUBLICO-SD;
LC-2019-0009722;1;2019-01-05;2019;1;5;19:21:00;8.0;;;-58.47462;-34.683043;MOTO;;MOTO-SD;
LC-2019-0010031;1;2019-01-05;2019;1;5;23:40:00;15.0;;;-58.474932;-34.604173;MOTO;;MOTO-SD;
LC-2019-0010621;1;2019-01-05;2019;1;5;21:30:00;10.0;;;-58.488908;-34.634216;PEATON;;PEATON-SD;
LC-2019-0010050;1;2019-01-06;2019;1;6;02:06:00;7.0;;;-58.469868;-34.633801;CICLISTA;;CICLISTA-SD;
LC-2019-0010105;1;2019-01-06;2019;1;6;03:01:00;1.0;;;-58.381483;-34.594546;PEATON;;PEATON-SD;
LC-2019-0010145;1;2019-01-06;2019;1;6;03:20:00;11.0;;;-58.50758;-34.604624;AUTO;;AUTO-SD;
LC-2019-0010228;1;2019-01-06;2019;1;6;07:00:00;2.0;;;-58.405356;-34.590326;MOTO;;MOTO-SD;
LC-2019-0010301;1;2019-01-06;2019;1;6;08:40:00;1.0;;;-58.378123;-34.602378;AUTO;;AUTO-SD;
LC-2019-0010436;2;2019-01-06;2019;1;6;12:30:00;1.0;;;-58.380012;-34.622135;MOTO;;MOTO-SD;
LC-2019-0010649;1;2019-01-06;2019;1;6;18:08:00;2.0;;;-58.411924;-34.598002;MOTO;;MOTO-SD;
LC-2019-0010661;1;2019-01-06;2019;1;6;18:11:00;6.0;;;-58.447447;-34.625172;MOTO;;MOTO-SD;
LC-2019-0010730;1;2019-01-06;2019;1;6;19:25:00;15.0;;;-58.447169;-34.605403;TRANSPORTE PUBLICO;;TRANSPORTE PUBLICO-SD;
LC-2019-0010814;1;2019-01-06;2019;1;6;20:53:00;14.0;;;-58.419283;-34.587575;MOTO;;MOTO-SD;
LC-2019-0010884;2;2019-01-06;2019;1;6;21:30:00;12.0;;;-58.493326;-34.54837;MOTO;;MOTO-SD;
LC-2019-0010983;2;2019-01-06;2019;1;6;22:20:00;;;;;;AUTO;;AUTO-SD;
LC-2019-0013589;1;2019-01-07;2019;1;7;20:56:00;7.0;;;-58.471575;-34.626368;CICLISTA;;CICLISTA-SD;
LC-2019-0021745;1;2019-01-07;2019;1;7;12:00:00;11.0;;;-58.528155;-34.611798;CICLISTA;;CICLISTA-SD;
LC-2019-0011092;1;2019-01-07;2019;1;7;03:50:00;;;;;;PEATON;;PEATON-SD;
LC-2019-0011335;1;2019-01-07;2019;1;7;09:02:00;13.0;;;;;PEATON;;PEATON-SD;
LC-2019-0011431;1;2019-01-07;2019;1;7;07:20:00;9.0;;;-58.507922;-34.656089;TRANSPORTE PUBLICO;;TRANSPORTE PUBLICO-SD;
LC-2019-0011534;1;2019-01-07;2019;1;7;10:17:00;3.0;;;-58.3958;-34.616021;MOTO;;MOTO-SD;
LC-2019-0011575;2;2019-01-07;2019;1;7;08:55:00;3.0;;;-58.397691;-34.618555;MOTO;;MOTO-SD;
LC-2019-0011908;1;2019-01-07;2019;1;7;09:50:00;13.0;;;-58.472974;-34.551674;MOTO;;MOTO-SD;
LC-2019-0012172;1;2019-01-07;2019;1;7;12:53:00;1.0;;;-58.384719;-34.612323;MOTO;;MOTO-SD;
LC-2019-0012508;1;2019-01-07;2019;1;7;13:20:00;1.0;;;-58.380897;-34.624645;TRANSPORTE PUBLICO;;TRANSPORTE PUBLICO-SD;
LC-2019-0012578;1;2019-01-07;2019;1;7;14:57:00;5.0;;;-58.41618;-34.635318;MOTO;;MOTO-SD;
LC-2019-0012580;1;2019-01-07;2019;1;7;13:20:00;12.0;;;-58.48935;-34.549178;MOTO;;MOTO-SD;
LC-2019-0012638;1;2019-01-07;2019;1;7;15:12:00;9.0;;;-58.511016;-34.666649;MOTO;;MOTO-SD;
LC-2019-0012821;1;2019-01-07;2019;1;7;16:13:00;1.0;;;-58.380622;-34.619758;MOTO;;MOTO-SD;
LC-2019-0013235;1;2019-01-07;2019;1;7;17:01:00;7.0;;;-58.468682;-34.634692;AUTO;;AUTO-SD;
LC-2019-0013370;1;2019-01-07;2019;1;7;18:35:00;12.0;;;-58.475488;-34.539371;PEATON;;PEATON-SD;
LC-2019-0013652;4;2019-01-07;2019;1;7;19:35:00;1.0;;;-58.374439;-34.591666;TRANSPORTE PUBLICO;;TRANSPORTE PUBLICO-SD;
LC-2019-0013801;1;2019-01-08;2019;1;8;23:00:00;1.0;;;-58.3733;-34.613613;CICLISTA;;CICLISTA-SD;
LC-2019-0014314;1;2019-01-08;2019;1;8;09:15:00;5.0;;;-58.414935;-34.599599;CICLISTA;;CICLISTA-SD;
LC-2019-0014448;1;2019-01-08;2019;1;8;10:00:00;5.0;;;-58.41322;-34.638077;CICLISTA;;CICLISTA-SD;
LC-2019-0014787;1;2019-01-08;2019;1;8;10:00:00;15.0;;;-58.456416;-34.602389;CICLISTA;;CICLISTA-SD;
LC-2019-0014140;1;2019-01-08;2019;1;8;09:16:00;3.0;;;-58.411466;-34.613036;MOTO;;MOTO-SD;
LC-2019-0014220;1;2019-01-08;2019;1;8;08:30:00;3.0;;;-58.395595;-34.61614;MOTO;;MOTO-SD;
LC-2019-0014503;1;2019-01-08;2019;1;8;09:28:00;13.0;;;-58.471008;-34.550526;MOTO;;MOTO-SD;
LC-2019-0014956;1;2019-01-08;2019;1;8;17:30:00;10.0;;;-58.473352;-34.634862;MOTO;;MOTO-SD;
LC-2019-0015193;1;2019-01-08;2019;1;8;14:34:00;7.0;;;-58.467516;-34.621471;MOTO;;MOTO-SD;
LC-2019-0015361;1;2019-01-08;2019;1;8;13:45:00;7.0;;;-58.464112;-34.62925;PEATON;;PEATON-SD;
LC-2019-0016105;1;2019-01-08;2019;1;8;19:00:00;8.0;;;-58.469389;-34.664989;MOTO;;MOTO-SD;
LC-2019-0030754;1;2019-01-09;2019;1;9;21:15:00;15.0;;;-58.426443;-34.597899;CICLISTA;;CICLISTA-SD;
LC-2019-0016613;1;2019-01-09;2019;1;9;08:43:00;10.0;;;-58.529911;-34.625715;MOTO;;MOTO-SD;
LC-2019-0017182;1;2019-01-09;2019;1;9;11:00:00;9.0;;;-58.529846;-34.641786;MOTO;;MOTO-SD;
LC-2019-0017460;1;2019-01-09;2019;1;9;13:18:00;7.0;;;-58.433539;-34.645615;AUTO;;AUTO-SD;
LC-2019-0018751;1;2019-01-09;2019;1;9;23:05:00;15.0;;;-58.463357;-34.575009;MOTO;;MOTO-SD;
LC-2019-0020420;1;2019-01-10;2019;1;10;11:00:00;1.0;;;-58.38198;-34.595402;AUTO;;AUTO-SD;
